"Timestamp","What is your program?","What is your gender?","What is your AGE as of your last birthday?","What is your HEIGHT (to the nearest centimetre)?","What is your WEIGHT (to the nearest kilogram)?","What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?","What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?","After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?","Do you LIVE WITH YOUR PARENTS? ","What are your MONTHLY EXPENSES for FOOD and LODGING?","What MODE of TRANSPORT do you use most often to get to and from BCIT?","What is your COST per MONTH for TRANSPORTATION to and from BCIT?","What is your COST per MONTH for ENTERTAINMENT?","Are you right-handed, Left-handed or ambidextrous?","What is your COST per MONTH for your CELL PHONE?","Do you SMOKE cigarettes? ","What is your foot size in INCHES?","How many alcoholic drinks do you have per week?","Do you have a tattoo?","On average, how many hours per night do you sleep?","How much time in hours do you spend each week on social netorking sites?","How many hours per week do you spend studying/doing homework?","How many hours a week are you working (part-time or full-time employment) outside of BCIT?","Have you traveled outside of North America?","Do you pay entirely for your own tuition?","How many cups of coffee do you drink on average each day?"
"2025/01/16 4:41:58 pm GMT-8","MKTG","Female","27","164","50","0","5000","3. Non-profit or Government Agency","No","3000","3. Drive","150","","0. Right-handed","50","Yes","8.75","much as I can","No","9","3hours","10hours","0","Yes","Yes","1"
"2025/01/16 4:42:32 pm GMT-8","BMGT","Male","21","178","66","0","3300","2. Small Company","Yes","3900","3. Drive","700","0","0. Right-handed","80","No","11.25","0","No","8","0","40","0","Yes","No","0"
"2025/01/16 4:47:45 pm GMT-8","BABI","Female","24","161","57","0","4000","1. Large Corporation","Yes","200","2. Public Transport","0","20","0. Right-handed","0","No","8","1","No","8","30","25","8","Yes","Yes","0"
"2025/01/16 5:03:30 pm GMT-8","MMGT","Female","29","162","70","3500","2600","1. Large Corporation","No","1500","2. Public Transport","50","150","0. Right-handed","69","No","9.25","0-2","Yes","6","21","35","0","Yes","Yes","0"
"2025/01/16 6:46:46 pm GMT-8","BMGT","Female","23","63","158","$4000","$5000","1. Large Corporation","No","","3. Drive","60","","0. Right-handed","$48","No","","0","Yes","7.5","","","","Yes","No","1"
"2025/01/16 7:31:42 pm GMT-8","BABI","Male","23","185","93","3700","3200","2. Small Company","Yes","60","2. Public Transport","90","75","0. Right-handed","50","No","9","1","No","7","5","10","8","Yes","Yes","0"
"2025/01/16 8:37:34 pm GMT-8","MKTG","Male","24","170","81","5500","3500","1. Large Corporation","Yes","700","3. Drive","750","150","1. Left-handed","117","No","10.5","0-2","No","7","10","18","8","Yes","No","1"
"2025/01/16 11:11:41 pm GMT-8","MKTG","Male","23","170","57","3000","5000","1. Large Corporation","Yes","750","2. Public Transport","50","30","0. Right-handed","34","No","10","0","No","6","32","8","30","Yes","Yes","1"
"2025/01/17 6:25:04 am GMT-8","MKTG","Male","26","168","80","0","800","2. Small Company","No","4000","2. Public Transport","50","100","0. Right-handed","30","No","9","2","No","7","5","6","0","Yes","No","1"
"2025/01/17 8:47:57 am GMT-8","BABI","Male","21","183","71","4000","5000","1. Large Corporation","Yes","100","3. Drive","100","30","0. Right-handed","0","No","10.5 inches","0","No","7.5","20","4","5","Yes","No","0.5"
"2025/01/17 10:41:44 am GMT-8","OMPT","Male","22","167.64","79.55","1000-1200","1 billion :D","1. Large Corporation","Yes","i forgot","2. Public Transport","5","40","0. Right-handed","80","No","i forgot","depends","Yes","lucky if i can 6-7 but mainly 4-5","uhhh I know more than half my day","low 2 hrs high 4-5 hrs","10 hrs currently","Yes","Yes","too much to be asked, ""how are you alive?"""
"2025/01/17 10:51:34 am GMT-8","BMGT","Male","20","178cm","84","3000","6000","1. Large Corporation","Yes","300","3. Drive","150","100","0. Right-handed","70","Yes","11","0","No","7","10","15","16","Yes","No","1"
"2025/01/17 12:00:17 pm GMT-8","BBAD","Female","22","172 cm","57 kg","0","$4,000/month","1. Large Corporation","No","arounf $1,200 a month for both","2. Public Transport","$0","$200","0. Right-handed","$50","No","9 inches","4","No","7","15","10","12","Yes","Yes","2"
"2025/01/17 1:05:28 pm GMT-8","BABI","Male","20","172","64","0","5000","1. Large Corporation","No","1400","2. Public Transport","0","300","0. Right-handed","39","No","10.25","0","Yes","8","7","3","15","Yes","No","1"
"2025/01/17 4:50:38 pm GMT-8","Itmg","Female","26","","60","2500","2000","1. Large Corporation","Yes","2500","3. Drive","300","20","0. Right-handed","50","No","No idea","0","No","8","30","10","20","Yes","No","0"
"2025/01/18 12:53:57 pm GMT-8","BMGT","Male","27","173 cm","72 kg","6000","6000","4. Other","No","2200","5. Other","180","50","0. Right-handed","50","No","10","0","Yes","5","2","10","20","Yes","Yes","N"
"2025/01/18 11:44:28 pm GMT-8","BABI","Female","29","165","62","3200","5000","1. Large Corporation","Yes","150","2. Public Transport","0","300","0. Right-handed","25","No","","2","No","7","14","24","25","Yes","No","0.5"
"2025/01/19 4:47:16 pm GMT-8","BMGT","Male","22","188","72","3200","5000","2. Small Company","Yes","300","3. Drive","100","100","0. Right-handed","0","No","11","8","No","8","24","10","0","Yes","No","1"
"2025/01/19 7:41:28 pm GMT-8","BBAD ","Female","24","165.1","175","2000","5100","3. Non-profit or Government Agency","Yes","300","3. Drive","300","100","1. Left-handed","100","No","9.5","0-1","No","6","50","20","20","Yes","Yes","1"
"2025/01/19 8:09:31 pm GMT-8","BABI","Female","21","167","165","0","5000","3. Non-profit or Government Agency","No","1000","2. Public Transport","0","20","0. Right-handed","45","No","9","0","No","6","5","10","22","Yes","No","1"
"2025/01/19 10:24:34 pm GMT-8","BMGT","Female","19","182cm","55kg","0","$5500","2. Small Company","Yes","1000","2. Public Transport","110","200","0. Right-handed","35","No","9.9","average 0-2","No","5","12","over 30","about 24","Yes","No","1"
"2025/01/20 10:55:29 am GMT-8","BMGT","Female","22","157","55","0","2000","1. Large Corporation","Yes","750","3. Drive","400","200","0. Right-handed","100","No","","1","Yes","8","3","4","16","Yes","Yes","2"
"2025/01/20 11:33:05 am GMT-8","COMP","Male","21","169","125","0","75000","1. Large Corporation","Yes","300","3. Drive","400","30","0. Right-handed","70","No","10.3","0","No","7","40","","0","Yes","No","0"
"2025/01/20 10:43:04 pm GMT-8","ITMG","Female","23","157","73","0","5447","2. Small Company","Yes","300","2. Public Transport","68","12","0. Right-handed","0","No","8.5","1","Yes","6","4","21","0","Yes","Yes","0"
"2025/01/23 9:33:54 am GMT-8","MKTG","Female","18","170","119.20","0","1040","2. Small Company","No","1350","2. Public Transport","47","20","0. Right-handed","29","No","12.2","0","No","5","21","35","15","Yes","Yes","2"
